Ref,Val,Package,PosX,PosY,Rot,Side
"D_out_clkw_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.430000,-154.400000,0.000000,top
"D_out_flags_C_out_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.010000,-144.240000,0.000000,top
"D_out_flags_eq_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.490000,-144.240000,0.000000,top
"D_out_flags_gt_0","LED yellow 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",161.250000,-144.240000,0.000000,top
"D_out_flags_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.890000,-118.840000,0.000000,top
"D_out_flags_z_0","LED blue 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",191.730000,-144.240000,0.000000,top
"D_out_iar_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",26.630000,-111.220000,0.000000,top
"D_out_iar_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",26.630000,-118.840000,0.000000,top
"D_out_ir_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.490000,-118.840000,0.000000,top
"D_out_is_bus1_w_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.770000,-80.740000,0.000000,top
"D_out_r0_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",85.050000,-111.220000,0.000000,top
"D_out_r0_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",85.050000,-118.840000,0.000000,top
"D_out_r1_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.670000,-111.220000,0.000000,top
"D_out_r1_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.670000,-118.840000,0.000000,top
"D_out_r2_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",100.290000,-111.220000,0.000000,top
"D_out_r2_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",100.290000,-118.840000,0.000000,top
