null,Sourced,Placed,References,Value,Footprint
263,✓,,D_out_clkc_0,LED yellow 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
264,✓,,D_out_flags_gt_0,LED yellow 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
265,✓,,J_clk_0,Conn_01x01_Male,PinHeader_1x01_P2.54mm_Vertical
266,✓,,J_GND_0,Conn_01x01_Male,PinHeader_1x01_P2.54mm_Vertical
267,✓,,J_OUT_USART1_TX_0,Conn_01x01_Male,PinHeader_1x01_P2.54mm_Vertical
268,✓,,C_clk_0,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
269,✓,,C_clk_1,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
270,✓,,C_clk_out_0,15pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
271,✓,,C_eeprom_vcc_0,104,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
272,✓,,D_out_flags_z_0,LED blue 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
273,✓,,F_pwr_0,Fuse 3.3V / 2A,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder
274,✓,,J_pwr_0,USB_A,USB_A_Molex_105057_Vertical
275,✓,,P_JTAG_0,Xilinx_JTAG,IDC-Header_2x07-1MP_P2.54mm_Latch_Vertical
276,✓,,SW_in_clk_manual_0,SW_Push,SPST_Square
277,✓,,SW_read_register_0,SW_Rotary12,SR26 1-1-12P
278,✓,,SW_reset_0,SW_Push,SW_PUSH_6mm_H9.5mm
279,✓,,U_eeprom_0,M25P16-VMN3PB,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm
280,✓,,U_pwr_aux_0,AMS1117-2.5,SOT-223-3_TabPin2
281,✓,,U_pwr_vcc_0,AMS1117-3.3,SOT-223-3_TabPin2
282,✓,,U_pwr_vcc_core_0,AMS1117-1.2,SOT-223-3_TabPin2
283,✓,,X_clk_0,XO91,Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm_HandSoldering
