"null","Sourced","Placed","References","Value","Footprint"
1,"✓","","C_clk_out_0","15pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
2,"✓","","C_clk_0","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
3,"✓","","C_clk_1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
4,"✓","","C_pwr_aux_0","100uF","CP_Elec_6.3x5.4"
5,"✓","","C_pwr_aux_1","100uF","CP_Elec_6.3x5.4"
6,"✓","","C_pwr_vcc_0","100uF","CP_Elec_6.3x5.4"
7,"✓","","C_pwr_vcc_core_0","100uF","CP_Elec_6.3x5.4"
8,"✓","","C_pwr_vcc_core_1","100uF","CP_Elec_6.3x5.4"
9,"✓","","U_pwr_vcc_1","100uF","CP_Elec_6.3x5.4"
10,"✓","","R__eeprom_dq1_0","33R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
11,"✓","","R_clk_out_0","33R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
12,"✓","","R_JTAG_TCK_0","33R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
13,"✓","","R_JTAG_TDI_0","33R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
14,"✓","","R_JTAG_TDO_0","33R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
15,"✓","","R_JTAG_TMS_0","33R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
16,"✓","","R_d_in_acc_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
17,"✓","","R_d_in_acc_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
18,"✓","","R_d_in_bus1_one_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
19,"✓","","R_d_in_bus1_ps_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
20,"✓","","R_d_in_clk_manual_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
21,"✓","","R_d_in_iar_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
22,"✓","","R_d_in_iar_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
23,"✓","","R_d_in_ir_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
24,"✓","","R_d_in_ir_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
25,"✓","","R_d_in_is_bus1_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
26,"✓","","R_d_in_is_clk_external_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
27,"✓","","R_d_in_is_clk_high_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
